Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
29-Sep-25,18061.1,18106.05,17954.45,18046.75,172086968,25072.17
30-Sep-25,18066.25,18114.05,18017.2,18032.95,155932335,17097.34
01-Oct-25,17996.85,18129.65,17969.95,18106.7,133922293,15143.08
03-Oct-25,18051.65,18140.45,18010.95,18131.75,181784842,16408.88
06-Oct-25,18182.55,18325.15,18137.6,18314.35,122753699,12600.43
07-Oct-25,18318.2,18470.45,18302.05,18424.9,129651669,13620.4
08-Oct-25,18414.1,18476.9,18343.7,18361.7,99680153,9868.97
09-Oct-25,18406.2,18483.5,18348.15,18474.2,156848157,11681.6
10-Oct-25,18446.95,18597.9,18437.95,18562.05,96264920,10284.43
13-Oct-25,18510.15,18600.2,18506.35,18557.95,98455811,10548.78
14-Oct-25,18606.4,18607.6,18401.9,18494.85,123775928,11841.38
15-Oct-25,18526.4,18713.85,18512.75,18693.35,124889659,12293.31
16-Oct-25,18728.25,18910.65,18727.7,18810.6,198816472,16656.71
17-Oct-25,18771.3,18988.5,18740.65,18928.35,202452836,17756.94
20-Oct-25,19016,19045.1,18903.8,18931.15,135610145,15348.37
21-Oct-25,18993.1,19009.2,18911,18943.6,19774902,1874.26
23-Oct-25,19069.2,19073,18812.1,18832.65,221225204,21154.63
24-Oct-25,18864.1,18873.4,18705.5,18766.95,138358020,12035.92
27-Oct-25,18803.1,18876.65,18772.55,18860.4,125755559,12257.22
28-Oct-25,18857.6,18912.5,18729.55,18807.7,215749922,21551.75
29-Oct-25,18821.35,18833.15,18749.5,18773.6,157756533,14194.42
